PRO_COM	year	patents_italy	patents_austria	patents_together_amt_italy	patents_verzeichnisse	patents_together_verz_italy
11015	1889	2	0	2	NA	2
11015	1896	0	3	3	NA	0
11015	1902	16	0	16	NA	16
11015	1911	21	0	21	NA	21
11016	1911	2	0	2	NA	2
11027	1889	1	0	1	NA	1
11027	1902	1	0	1	NA	1
12006	1902	1	0	1	NA	1
12022	1911	1	0	1	NA	1
12026	1861	1	0	1	NA	1
12026	1864	1	0	1	NA	1
12026	1886	0	1	1	NA	0
12026	1902	4	0	4	NA	4
12026	1911	2	0	2	NA	2
12035	1911	1	0	1	NA	1
12042	1911	3	0	3	NA	3
12070	1886	0	1	1	NA	0
12070	1902	2	0	2	NA	2
12070	1911	2	0	2	NA	2
12076	1865	1	0	1	NA	1
12076	1911	1	0	1	NA	1
12083	1902	1	0	1	NA	1
12087	1911	1	0	1	NA	1
12090	1911	1	0	1	NA	1
12092	1911	1	0	1	NA	1
12108	1867	1	0	1	NA	1
12114	1911	2	0	2	NA	2
12119	1911	4	0	4	NA	4
12120	1902	1	0	1	NA	1
12123	1911	1	0	1	NA	1
12133	1885	0	1	1	NA	0
12133	1889	1	0	1	NA	1
12133	1902	3	0	3	NA	3
12133	1911	4	0	4	NA	4
13013	1886	0	1	1	NA	0
13013	1902	1	0	1	NA	1
13017	1902	1	0	1	NA	1
13020	1911	1	0	1	NA	1
13021	1889	1	0	1	NA	1
13041	1911	1	0	1	NA	1
13052	1902	1	0	1	NA	1
13075	1863	1	0	1	NA	1
13075	1865	1	0	1	NA	1
13075	1866	1	0	1	NA	1
13075	1867	1	0	1	NA	1
13075	1878	3	0	3	NA	3
13075	1889	3	0	3	NA	3
13075	1895	0	1	1	NA	0
13075	1897	0	1	1	NA	0
13075	1902	3	0	3	NA	3
13075	1911	5	0	5	NA	5
13086	1911	1	0	1	NA	1
13103	1889	1	0	1	NA	1
13112	1896	0	1	1	NA	0
13112	1902	1	0	1	NA	1
13113	1891	0	1	1	NA	0
13124	1861	2	0	2	NA	2
13124	1865	2	0	2	NA	2
13124	1878	1	0	1	NA	1
13124	1889	3	0	3	NA	3
13124	1902	1	0	1	NA	1
13124	1911	4	0	4	NA	4
13144	1889	1	0	1	NA	1
13145	1911	1	0	1	NA	1
13168	1862	1	0	1	NA	1
13181	1911	1	0	1	NA	1
13189	1911	1	0	1	NA	1
13208	1897	0	1	1	NA	0
13208	1911	2	0	2	NA	2
13234	1911	1	0	1	NA	1
13237	1867	1	0	1	NA	1
14018	1858	1	0	1	NA	1
