PRO_COM;COMUNE;year;n
31007;Gorizia;1882;2
31007;Gorizia;1883;1
31007;Gorizia;1885;1
31007;Gorizia;1887;1
31007;Gorizia;1888;2
31007;Gorizia;1889;2
31007;Gorizia;1890;2
31007;Gorizia;1891;3
31007;Gorizia;1893;1
31007;Gorizia;1894;1
31007;Gorizia;1895;1
31007;Gorizia;1897;4
31007;Gorizia;1898;2
31007;Gorizia;1899;1
31008;Gradisca d'Isonzo;1875;1
31012;Monfalcone;1889;2
31017;Sagrado;1894;4
32001;Duino-Aurisina;1869;2
32001;Duino-Aurisina;1870;1
32001;Duino-Aurisina;1875;3
32001;Duino-Aurisina;1899;1
32004;San Dorligo della Valle;1880;1
32004;San Dorligo della Valle;1897;1
32006;Trieste;1858;2
32006;Trieste;1864;2
32006;Trieste;1865;2
32006;Trieste;1866;2
32006;Trieste;1867;2
32006;Trieste;1868;5
32006;Trieste;1869;2
32006;Trieste;1870;6
32006;Trieste;1871;5
32006;Trieste;1872;8
32006;Trieste;1873;8
32006;Trieste;1874;11
32006;Trieste;1875;7
32006;Trieste;1876;5
32006;Trieste;1877;9
32006;Trieste;1878;7
32006;Trieste;1879;6
32006;Trieste;1880;5
32006;Trieste;1881;5
32006;Trieste;1882;4
32006;Trieste;1883;10
32006;Trieste;1884;5
32006;Trieste;1885;3
32006;Trieste;1886;2
32006;Trieste;1887;8
32006;Trieste;1888;5
32006;Trieste;1889;5
32006;Trieste;1890;4
32006;Trieste;1891;4
32006;Trieste;1892;8
32006;Trieste;1893;5
32006;Trieste;1894;11
32006;Trieste;1895;9
32006;Trieste;1896;19
32006;Trieste;1897;15
32006;Trieste;1898;12
32006;Trieste;1899;7
34027;Parma;1897;1
37006;Bologna;1876;1
37006;Bologna;1879;1
37006;Bologna;1880;1
37006;Bologna;1881;1
37006;Bologna;1883;2
37006;Bologna;1891;1
37006;Bologna;1893;1
37006;Bologna;1895;3
37006;Bologna;1896;3
37006;Bologna;1897;3
37006;Bologna;1898;1
37006;Bologna;1899;1
37032;Imola;1877;1
37032;Imola;1886;1
38008;Ferrara;1865;1
38008;Ferrara;1897;1
38014;Mesola;1892;1
40012;Forli';1891;1
40012;Forli';1894;1
40012;Forli';1898;1
40019;Meldola;1868;1
41044;Pesaro;1890;1
42002;Ancona;1880;1
42002;Ancona;1887;1
42002;Ancona;1894;2
42035;Ostra;1882;1
43044;Recanati;1895;1
46017;Lucca;1898;1
47011;Montecatini-Terme;1889;1
47014;Pistoia;1874;1
48010;Castelfiorentino;1898;1
48017;Firenze;1867;2
48017;Firenze;1869;1
48017;Firenze;1873;2
48017;Firenze;1874;5
48017;Firenze;1875;1
48017;Firenze;1876;2
48017;Firenze;1877;3
48017;Firenze;1878;1
48017;Firenze;1879;1
48017;Firenze;1880;1
48017;Firenze;1883;2
48017;Firenze;1884;2
48017;Firenze;1885;2
48017;Firenze;1889;1
48017;Firenze;1890;1
48017;Firenze;1891;1
48017;Firenze;1892;4
48017;Firenze;1893;2
48017;Firenze;1895;4
48017;Firenze;1896;3
48017;Firenze;1897;1
48017;Firenze;1898;3
48017;Firenze;1899;1
48034;Prato;1893;1
48044;Signa;1890;1
48044;Signa;1893;1
48044;Signa;1894;1
48044;Signa;1895;1
49009;Livorno;1867;1
49009;Livorno;1871;1
49009;Livorno;1873;1
49009;Livorno;1889;1
49009;Livorno;1895;1
49014;Portoferraio;1892;1
49014;Portoferraio;1896;1
50026;Pisa;1879;1
50026;Pisa;1882;1
50026;Pisa;1894;1
50026;Pisa;1897;1
