year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1867;42002;1;Ancona;NA;43,6071395000000;13,51017410000000;Ancona;42002
1867;43053;1;Tolentino;NA;43,2086993000000;13,28479850000000;Tolentino;43053
1867;45003;1;Carrara;NA;44,0696550000000;10,08241610000000;Carrara;45003
1867;45010;1;Massa;NA;44,0359323000000;10,13955190000000;Massa;45010
1867;46806;1;Pescia;NA;43,9019097000000;10,68912660000000;Pescia;47012
1867;48017;16;Firenze;NA;43,7699685000000;11,25767060000000;Firenze;48017
1867;50026;1;Pisa;NA;43,7228385000000;10,40175810000000;Pisa;50026
1867;50808;1;Piombino;NA;42,9255951000000;10,52595350000000;Piombino;49012
1867;51002;1;Arezzo;NA;43,4633082000000;11,87962150000000;Arezzo;51002
1867;54039;1;Perugia;NA;43,1107168000000;12,39082790000000;Perugia;54039
1867;58091;1;Roma;NA;41,8967068000000;12,48220250000000;Roma;58091
1867;61849;1;Isola del Liri;NA;41,6771631000000;13,57489300000000;Isola del Liri;60043
1867;62023;1;Cerreto Sannita;NA;41,2848535000000;14,56070210000000;Cerreto Sannita;62023
1867;63049;16;Napoli;NA;40,8517983000000;14,26812000000000;Napoli;63049
1867;66049;1;Aquila degli Abruzzi;NA;42,3506970000000;13,39993400000000;L'Aquila;66049
1867;75802;1;Brindisi;NA;40,6327732000000;17,94187240000000;Brindisi;74001
1867;82031;1;Cinisi;NA;38,1585316000000;13,10541420000000;Cinisi;82031
1867;82053;1;Palermo;NA;38,1156864000000;13,36146350000000;Palermo;82053
1867;82056;1;Petralia Sottana;NA;37,8082132000000;14,09313620000000;Petralia Sottana;82056
1867;83048;1;Messina;NA;38,1937342000000;15,55420880000000;Messina;83048
1878;1125;1;Ivrea;NA;45,4673400000000;7,88065680000000;Ivrea;1125
1878;1156;1;Moncalieri;NA;44,9983525000000;7,68028780000000;Moncalieri;1156
1878;1272;34;Torino;NA;45,0703155000000;7,68685520000000;Torino;1272
1878;3095;1;Meina;NA;45,7901212000000;8,53798960000000;Meina;3095
1878;3117;1;Piedimulera;NA;46,0264381000000;8,25925540000000;Piedimulera;3117
1878;3486;1;Varallo;NA;45,8144736000000;8,25435400000000;Varallo;2156
1878;3859;2;Intra;NA;45,9366367000000;8,57257550000000;Verbania;3156
1878;3919;1;Biella;NA;45,5628842000000;8,05833970000000;Biella;2012
1878;6039;1;Casale Monferrato;NA;45,1349543000000;8,45063980000000;Casale Monferrato;6039
1878;6114;1;Novi Ligure;NA;44,7627882000000;8,79502540000000;Novi Ligure;6114
1878;6160;1;Serravalle Scrivia;NA;44,7232617000000;8,85761530000000;Serravalle Scrivia;6160
1878;6831;2;Asti;NA;44,9007650000000;8,20643500000000;Asti;5005
1878;8027;1;Diano Marina;NA;43,9108055000000;8,08337870000000;Diano Marina;8027
1878;8065;1;Ventimiglia;NA;43,7912366000000;7,60758640000000;Ventimiglia;8065
1878;10025;13;Genova;NA;44,4071448000000;8,93473810000000;Genova;10025
1878;10820;1;San Fruttuoso;NA;44,3155357000000;9,17640800000000;Camogli;10007
1878;10823;2;San Pier d'Arena;NA;44,4137488000000;8,89466570000000;Genova;10025
1878;10826;1;Sestri Ponente;NA;44,4276588000000;8,85281640000000;Genova;10025
1878;10926;2;Savona;NA;44,3034046000000;8,47433150000000;Savona;9056
1878;13075;3;Como;NA;45,8063817000000;9,08518670000000;Como;13075
1878;13124;1;Lecco;NA;45,8524098000000;9,39516970000000;Lecco;13124
1878;15126;4;Lodi;NA;38,1341477000000;-121,27221940000000;NA;NA
1878;15146;42;Milano;NA;45,4641943000000;9,18963460000000;Milano;15146
1878;16024;3;Bergamo;NA;45,6941966000000;9,67074620000000;Bergamo;16024
1878;16035;1;Bracca;NA;45,8241257000000;9,70791220000000;Bracca;16035
1878;17029;3;Brescia;NA;45,5415526000000;10,21180190000000;Brescia;17029
1878;17089;1;Limone San Giovanni;NA;37,6547725000000;12,59353530000000;Mazara del Vallo;81012
1878;17173;1;San Zeno Naviglio;NA;45,4914595000000;10,21745090000000;San Zeno Naviglio;17173
1878;18110;1;Pavia;NA;45,1853967000000;9,15525620000000;Pavia;18110
1878;18139;1;Santa Cristina e Bissone;NA;45,1573618000000;9,39633340000000;Santa Cristina e Bissone;18139
1878;18177;1;Vigevano;NA;45,3218787000000;8,84667260000000;Vigevano;18177
1878;19035;1;Crema;NA;45,3628280000000;9,68745730000000;Crema;19035
1878;19036;1;Cremona;NA;45,1333135000000;10,02270440000000;Cremona;19036
1878;23091;4;Verona;NA;45,4383659000000;10,99171360000000;Verona;23091
1878;24004;1;Altavilla Vicentina;NA;45,5112977000000;11,46308630000000;Altavilla Vicentina;24004
1878;27042;3;Venezia;NA;45,4403790000000;12,31595470000000;Venezia;27042
1878;33032;3;Piacenza;NA;45,0526415000000;9,69368830000000;Piacenza;33032
1878;35033;2;Reggio nell'Emilia;NA;44,7030966000000;10,63461530000000;Reggio nell'Emilia;35033
1878;36023;1;Modena;NA;44,6471280000000;10,92522690000000;Modena;36023
1878;37006;11;Bologna;NA;44,4948870000000;11,34261630000000;Bologna;37006
1878;40012;2;Forlì;NA;44,2220080000000;12,04086660000000;Forli';40012
1878;41067;2;Urbino;NA;43,7263750000000;12,63625630000000;Urbino;41067
1878;42002;1;Ancona;NA;43,6071395000000;13,51017410000000;Ancona;42002
1878;43012;1;Cingoli;NA;43,3770187000000;13,21345220000000;Cingoli;43012
1878;46017;1;Lucca;NA;43,8430391000000;10,51565320000000;Lucca;46017
1878;46028;1;Seravezza;NA;43,9953875000000;10,22864420000000;Seravezza;46028
1878;48017;13;Firenze;NA;43,7699685000000;11,25767060000000;Firenze;48017
1878;49009;3;Livorno;NA;43,5484760000000;10,31060870000000;Livorno;49009
1878;50026;1;Pisa;NA;43,7228385000000;10,40175810000000;Pisa;50026
1878;51002;1;Arezzo;NA;43,4633082000000;11,87962150000000;Arezzo;51002
1878;52032;4;Siena;NA;43,3184741000000;11,33058120000000;Siena;52032
1878;54035;1;Norcia;NA;42,7919230000000;13,09477970000000;Norcia;54035
