year;location;COMUNE;lat;long;PRO_COM;comune_code;patents_austria;patents_italy;patents_together
1878;Diano Marina;Diano Marina;43,9108055000000;8,08337870000000;8027;8027;0;1;1
1878;Ventimiglia;Ventimiglia;43,7912366000000;7,60758640000000;8065;8065;0;1;1
1878;Genova;Genova;44,4071448000000;8,93473810000000;10025;10025;0;13;13
1878;San Fruttuoso;Camogli;44,3155357000000;9,17640800000000;10007;10820;0;1;1
1878;San Pier d'Arena;Genova;44,4137488000000;8,89466570000000;10025;10823;0;2;2
1878;Sestri Ponente;Genova;44,4276588000000;8,85281640000000;10025;10826;0;1;1
1878;Savona;Savona;44,3034046000000;8,47433150000000;9056;10926;0;2;2
1878;Como;Como;45,8063817000000;9,08518670000000;13075;13075;0;3;3
1878;Lecco;Lecco;45,8524098000000;9,39516970000000;13124;13124;0;1;1
1878;Lodi;NA;38,1341477000000;-121,27221940000000;NA;15126;0;4;4
1878;Milano;Milano;45,4641943000000;9,18963460000000;15146;15146;2;42;44
1878;Bergamo;Bergamo;45,6941966000000;9,67074620000000;16024;16024;0;3;3
1878;Bracca;Bracca;45,8241257000000;9,70791220000000;16035;16035;0;1;1
1878;Brescia;Brescia;45,5415526000000;10,21180190000000;17029;17029;0;3;3
1878;Limone San Giovanni;Mazara del Vallo;37,6547725000000;12,59353530000000;81012;17089;0;1;1
1878;San Zeno Naviglio;San Zeno Naviglio;45,4914595000000;10,21745090000000;17173;17173;0;1;1
1878;Pavia;Pavia;45,1853967000000;9,15525620000000;18110;18110;0;1;1
1878;Santa Cristina e Bissone;Santa Cristina e Bissone;45,1573618000000;9,39633340000000;18139;18139;0;1;1
1878;Vigevano;Vigevano;45,3218787000000;8,84667260000000;18177;18177;0;1;1
1878;Crema;Crema;45,3628280000000;9,68745730000000;19035;19035;0;1;1
1878;Cremona;Cremona;45,1333135000000;10,02270440000000;19036;19036;0;1;1
1878;Verona;Verona;45,4383659000000;10,99171360000000;23091;23091;0;4;4
1878;Altavilla Vicentina;Altavilla Vicentina;45,5112977000000;11,46308630000000;24004;24004;0;1;1
1878;Venezia;Venezia;45,4403790000000;12,31595470000000;27042;27042;1;3;4
1878;Piacenza;Piacenza;45,0526415000000;9,69368830000000;33032;33032;0;3;3
1878;Reggio nell'Emilia;Reggio nell'Emilia;44,7030966000000;10,63461530000000;35033;35033;0;2;2
1878;Modena;Modena;44,6471280000000;10,92522690000000;36023;36023;0;1;1
1878;Bologna;Bologna;44,4948870000000;11,34261630000000;37006;37006;0;11;11
1878;Forlì;Forli';44,2220080000000;12,04086660000000;40012;40012;0;2;2
1878;Urbino;Urbino;43,7263750000000;12,63625630000000;41067;41067;0;2;2
1878;Ancona;Ancona;43,6071395000000;13,51017410000000;42002;42002;0;1;1
1878;Cingoli;Cingoli;43,3770187000000;13,21345220000000;43012;43012;0;1;1
1878;Lucca;Lucca;43,8430391000000;10,51565320000000;46017;46017;0;1;1
1878;Seravezza;Seravezza;43,9953875000000;10,22864420000000;46028;46028;0;1;1
1878;Firenze;Firenze;43,7699685000000;11,25767060000000;48017;48017;1;13;14
1878;Livorno;Livorno;43,5484760000000;10,31060870000000;49009;49009;0;3;3
1878;Pisa;Pisa;43,7228385000000;10,40175810000000;50026;50026;0;1;1
